"sig1.x","sig1.y","sig2.x","sig2.y","sig3.x","sig3.y"
"50",33.0104,74.7708,52.5833,-56.3021,78.6875,-49.7604
"51",33.0104,74.7708,54.5833,-69.3021,80.6875,-64.7604
"52",33.0104,74.7708,55.5833,-82.3021,82.6875,-79.7604
"53",33.0104,65.7708,55.5833,-86.3021,84.6875,-95.7604
"54",34.0104,51.7708,55.5833,-86.3021,85.6875,-110.7604
"55",36.0104,29.7708,56.5833,-92.3021,87.6875,-124.7604
"56",41.0104,-2.2292,57.5833,-109.3021,88.6875,-139.7604
"57",46.0104,-37.2292,57.5833,-126.3021,88.6875,-154.7604
"58",49.0104,-75.2292,57.5833,-144.3021,88.6875,-169.7604
"59",50.0104,-116.2292,54.5833,-175.3021,85.6875,-184.7604
"60",46.0104,-157.2292,51.5833,-198.3021,80.6875,-199.7604
"61",36.0104,-193.2292,51.5833,-199.3021,70.6875,-213.7604
"62",28.0104,-208.2292,46.5833,-214.3021,56.6875,-227.7604
"63",27.0104,-210.2292,33.5833,-233.3021,36.6875,-239.7604
"64",21.0104,-218.2292,5.5833,-247.3021,12.6875,-250.7604
"65",12.0104,-228.2292,-37.4167,-255.3021,-14.3125,-258.7604
"66",-2.9896,-238.2292,-82.4167,-252.3021,-44.3125,-263.7604
"67",-36.9896,-250.2292,-106.4167,-244.3021,-76.3125,-264.7604
"68",-58.9896,-253.2292,-106.4167,-244.3021,-107.3125,-260.7604
"69",-94.9896,-251.2292,-124.4167,-233.3021,-134.3125,-251.7604
"70",-118.9896,-236.2292,-145.4167,-207.3021,-157.3125,-239.7604
"71",-125.9896,-210.2292,-153.4167,-177.3021,-174.3125,-225.7604
"72",-125.9896,-192.2292,-152.4167,-159.3021,-188.3125,-211.7604
"73",-123.9896,-183.2292,-149.4167,-141.3021,-198.3125,-196.7604
"74",-123.9896,-183.2292,-143.4167,-123.3021,-204.3125,-180.7604
"75",-121.9896,-173.2292,-134.4167,-106.3021,-207.3125,-165.7604
"76",-115.9896,-155.2292,-122.4167,-88.3021,-207.3125,-149.7604
"77",-111.9896,-145.2292,-115.4167,-79.3021,-204.3125,-134.7604
"78",-111.9896,-145.2292,-115.4167,-79.3021,-198.3125,-118.7604
"79",-110.9896,-143.2292,-114.4167,-77.3021,-189.3125,-103.7604
"80",-102.9896,-125.2292,-101.4167,-63.3021,-178.3125,-88.7604
"81",-92.9896,-109.2292,-86.4167,-49.3021,-165.3125,-74.7604
"82",-88.9896,-101.2292,-72.4167,-35.3021,-151.3125,-60.7604
"83",-88.9896,-101.2292,-57.4167,-23.3021,-135.3125,-46.7604
"84",-88.9896,-101.2292,-41.4167,-11.3021,-118.3125,-33.7604
"85",-80.9896,-90.2292,-38.4167,-9.3021,-100.3125,-20.7604
"86",-69.9896,-75.2292,-38.4167,-9.3021,-81.3125,-7.7604
"87",-58.9896,-61.2292,-38.4167,-9.3021,-61.3125,4.2396
"88",-46.9896,-48.2292,-24.4167,0.6979,-41.3125,16.2396
"89",-34.9896,-36.2292,-8.4167,10.6979,-20.3125,27.2396
"90",-20.9896,-24.2292,5.5833,18.6979,1.6875,38.2396
"91",-7.9896,-14.2292,5.5833,18.6979,22.6875,49.2396
"92",7.0104,-3.2292,5.5833,18.6979,44.6875,59.2396
"93",23.0104,5.7708,16.5833,24.6979,67.6875,69.2396
"94",40.0104,15.7708,38.5833,35.6979,89.6875,78.2396
"95",61.0104,25.7708,82.5833,53.6979,112.6875,87.2396
"96",104.0104,39.7708,139.5833,65.6979,137.6875,93.2396
